date,Open,High,Low,Close
2022-01-02 18:00:00,1828.604,1831.624,1827.898,1828.354
2022-01-02 19:00:00,1828.294,1830.858,1826.888,1830.158
2022-01-02 20:00:00,1830.128,1831.458,1827.494,1828.728
2022-01-02 21:00:00,1828.728,1828.798,1825.588,1826.088
2022-01-02 22:00:00,1826.088,1826.768,1824.068,1825.618
2022-01-02 23:00:00,1825.618,1825.854,1824.448,1825.028
2022-01-03 00:00:00,1825.038,1825.648,1823.594,1825.338
2022-01-03 01:00:00,1825.328,1825.618,1823.578,1825.168
2022-01-03 02:00:00,1825.248,1825.278,1820.908,1824.148
2022-01-03 03:00:00,1824.138,1824.238,1821.238,1822.774
2022-01-03 04:00:00,1822.784,1826.578,1822.368,1826.304
2022-01-03 05:00:00,1826.294,1827.414,1825.414,1826.308
2022-01-03 06:00:00,1826.338,1827.038,1822.168,1822.875
2022-01-03 07:00:00,1822.875,1823.108,1821.194,1821.684
2022-01-03 08:00:00,1821.664,1821.898,1805.584,1807.058
2022-01-03 09:00:00,1807.028,1810.878,1802.698,1802.778
2022-01-03 10:00:00,1802.788,1806.588,1799.678,1801.838
2022-01-03 11:00:00,1801.808,1801.868,1798.189,1800.638
2022-01-03 12:00:00,1800.638,1800.858,1798.708,1799.568
2022-01-03 13:00:00,1799.558,1802.138,1798.948,1801.564
2022-01-03 14:00:00,1801.568,1802.914,1800.958,1801.618
2022-01-03 15:00:00,1801.618,1804.494,1801.054,1801.628
2022-01-03 16:00:00,1801.648,1802.158,1800.798,1801.028
2022-01-03 18:00:00,1800.404,1804.184,1800.404,1804.028
2022-01-03 19:00:00,1804.024,1804.754,1802.808,1804.318
2022-01-03 20:00:00,1804.318,1806.798,1803.068,1805.064
2022-01-03 21:00:00,1805.044,1806.994,1804.564,1805.318
2022-01-03 22:00:00,1805.318,1806.035,1803.708,1804.078
2022-01-03 23:00:00,1804.088,1804.158,1803.078,1803.318
2022-01-04 00:00:00,1803.335,1805.448,1803.105,1805.338
2022-01-04 01:00:00,1805.348,1805.958,1803.288,1803.435
2022-01-04 02:00:00,1803.435,1807.275,1803.088,1805.658
2022-01-04 03:00:00,1805.658,1806.725,1803.218,1803.858
2022-01-04 04:00:00,1803.865,1806.585,1801.808,1805.615
